"VaisalaRH","vaisalaTemperature","Ph1"
21.77,3.77,63.1
11.73,3.78,63.681
31.77,3.78,62.035
2.45,3.79,63.812
41.6,3.79,60.142
51.22,3.81,57.337
60.54,3.83,53.401
89.39,3.83,36.789
76.94,3.85,42.864
85.27,3.85,38.235
68.96,3.86,48.441
1.97,7.77,63.01
21.82,7.77,62.156
31.92,7.77,60.833
11.79,7.78,62.81
41.64,7.78,58.812
51.33,7.79,55.739
60.69,7.81,51.612
69.21,7.83,46.536
77.43,7.86,40.997
86.05,7.88,36.624
90.09,7.88,35.437
1.43,11.89,62.089
21.73,11.89,61.027
11.63,11.9,61.85
31.81,11.9,59.585
41.7,11.92,57.236
51.35,11.92,53.891
69.28,11.92,44.359
60.54,11.93,49.582
77.81,11.94,39.03
86.52,11.95,35.009
90.65,11.98,34.091
1.23,16.09,61.057
11.67,16.12,60.639
21.83,16.13,59.726
31.87,16.15,57.995
41.6,16.16,55.429
51.3,16.16,51.893
60.6,16.17,47.437
69.32,16.19,42.264
77.97,16.21,37.119
86.65,16.24,33.834
90.72,16.25,33.147
0.95,19.76,60.041
21.85,19.76,58.415
11.58,19.77,59.619
31.93,19.78,56.477
60.6,19.8,45.563
41.73,19.81,53.678
69.4,19.81,40.46
51.24,19.82,49.967
78.1,19.82,35.709
86.95,19.86,33.007
90.89,19.88,32.618
0.89,20.06,60.004
41.55,20.07,53.555
51.28,20.07,49.772
60.64,20.07,45.24
11.56,20.08,59.499
21.71,20.08,58.335
31.73,20.08,56.389
69.37,20.08,40.028
78.05,20.1,35.325
86.76,20.13,32.551
90.81,20.13,32.086
0.96,20.22,60.042
21.82,20.25,58.301
31.85,20.25,56.349
41.64,20.25,53.522
51.35,20.25,49.719
11.57,20.26,59.492
60.57,20.26,45.163
69.49,20.27,40.017
78.08,20.3,35.369
86.81,20.31,32.671
90.95,20.34,32.282
0.82,23.76,59.09
11.58,23.77,58.387
21.85,23.77,56.954
41.75,23.77,51.783
31.93,23.78,54.732
51.48,23.78,47.899
60.76,23.8,43.191
69.43,23.8,38.339
78.18,23.81,34.141
86.87,23.83,31.917
90.9,23.83,31.642
0.69,28.05,57.944
32,28.05,52.672
11.64,28.06,56.873
21.9,28.06,55.11
41.84,28.07,49.405
51.5,28.08,45.278
60.7,28.08,40.695
69.44,28.08,36.027
78.32,28.1,32.372
86.89,28.13,30.726
90.86,28.13,30.519
0.6,31.84,56.73
11.82,31.87,55.26
22.1,31.87,53.312
32.28,31.88,50.512
41.94,31.9,47.16
51.56,31.91,42.998
60.74,31.92,38.595
69.51,31.93,34.374
78.18,31.95,31.354
86.67,31.97,29.732
90.64,31.99,29.681
