"VaisalaRH","vaisalaTemperature","Ph1"
21.77,3.77,1
11.73,3.78,1
31.77,3.78,1
2.45,3.79,1
41.6,3.79,1
51.22,3.81,1
60.54,3.83,1
89.39,3.83,1
76.94,3.85,1
85.27,3.85,1
68.96,3.86,1
1.97,7.77,1
21.82,7.77,1
31.92,7.77,1
11.79,7.78,1
41.64,7.78,1
51.33,7.79,1
60.69,7.81,1
69.21,7.83,1
77.43,7.86,1
86.05,7.88,1
90.09,7.88,1
1.43,11.89,1
21.73,11.89,1
11.63,11.9,1
31.81,11.9,1
41.7,11.92,1
51.35,11.92,1
69.28,11.92,1
60.54,11.93,1
77.81,11.94,1
86.52,11.95,1
90.65,11.98,1
1.23,16.09,1
11.67,16.12,1
21.83,16.13,1
31.87,16.15,1
41.6,16.16,1
51.3,16.16,1
60.6,16.17,1
69.32,16.19,1
77.97,16.21,1
86.65,16.24,1
90.72,16.25,1
0.95,19.76,1
21.85,19.76,1
11.58,19.77,1
31.93,19.78,1
60.6,19.8,1
41.73,19.81,1
69.4,19.81,1
51.24,19.82,1
78.1,19.82,1
86.95,19.86,1
90.89,19.88,1
0.89,20.06,1
41.55,20.07,1
51.28,20.07,1
60.64,20.07,1
11.56,20.08,1
21.71,20.08,1
31.73,20.08,1
69.37,20.08,1
78.05,20.1,1
86.76,20.13,1
90.81,20.13,1
0.96,20.22,1
21.82,20.25,1
31.85,20.25,1
41.64,20.25,1
51.35,20.25,1
11.57,20.26,1
60.57,20.26,1
69.49,20.27,1
78.08,20.3,1
86.81,20.31,1
90.95,20.34,1
0.82,23.76,1
11.58,23.77,1
21.85,23.77,1
41.75,23.77,1
31.93,23.78,1
51.48,23.78,1
60.76,23.8,1
69.43,23.8,1
78.18,23.81,1
86.87,23.83,1
90.9,23.83,1
0.69,28.05,1
32,28.05,1
11.64,28.06,1
21.9,28.06,1
41.84,28.07,1
51.5,28.08,1
60.7,28.08,1
69.44,28.08,1
78.32,28.1,1
86.89,28.13,1
90.86,28.13,1
0.6,31.84,1
11.82,31.87,1
22.1,31.87,1
32.28,31.88,1
41.94,31.9,1
51.56,31.91,1
60.74,31.92,1
69.51,31.93,1
78.18,31.95,1
86.67,31.97,1
90.64,31.99,1
