"RH...","vaisalaTemperature","Ph1"
31.68,3.77,62.024
2.68,3.78,63.806
21.67,3.78,63.087
11.59,3.79,63.667
41.5,3.79,60.162
51.12,3.81,57.349
60.36,3.83,53.408
89.12,3.84,36.868
76.64,3.85,42.932
68.79,3.86,48.474
84.91,3.86,38.33
2.13,7.77,62.996
21.76,7.77,62.143
31.85,7.77,60.807
11.71,7.78,62.779
41.59,7.78,58.817
51.25,7.78,55.728
60.55,7.81,51.614
69.06,7.83,46.567
77.18,7.86,41.073
85.74,7.88,36.69
89.84,7.89,35.472
1.56,11.89,62.074
11.56,11.9,61.838
21.66,11.9,60.995
31.75,11.9,59.579
41.65,11.92,57.227
51.25,11.93,53.884
60.48,11.93,49.566
69.15,11.93,44.377
77.54,11.94,39.082
86.24,11.96,35.031
90.41,11.97,34.109
1.35,16.09,61.046
11.64,16.12,60.608
21.8,16.13,59.701
31.85,16.14,57.998
41.55,16.16,55.393
51.27,16.16,51.893
60.53,16.17,47.434
69.19,16.19,42.273
77.73,16.22,37.119
86.42,16.25,33.848
90.48,16.25,33.157
1.05,19.75,60.066
21.8,19.75,58.439
11.57,19.77,59.578
31.89,19.78,56.472
41.72,19.8,53.674
60.52,19.8,45.558
69.31,19.81,40.45
51.23,19.82,49.998
77.91,19.83,35.731
86.74,19.86,33.018
90.67,19.88,32.649
0.97,20.06,60.021
51.23,20.07,49.767
60.56,20.07,45.189
11.41,20.08,59.474
21.67,20.08,58.312
31.7,20.08,56.38
41.53,20.08,53.555
69.26,20.08,40.047
77.89,20.11,35.319
86.58,20.13,32.552
90.6,20.13,32.099
1.07,20.21,60.015
21.79,20.25,58.267
31.82,20.25,56.356
41.59,20.25,53.5
51.31,20.25,49.734
11.57,20.26,59.457
60.57,20.26,45.192
69.41,20.28,40.025
77.92,20.3,35.392
86.57,20.32,32.684
90.76,20.34,32.272
0.88,23.76,59.09
11.6,23.77,58.336
21.84,23.77,56.915
31.9,23.77,54.725
41.74,23.77,51.776
51.46,23.78,47.87
60.72,23.8,43.153
69.32,23.81,38.321
78.04,23.82,34.156
86.65,23.83,31.922
90.69,23.84,31.657
0.75,28.05,57.939
21.92,28.05,55.146
31.98,28.05,52.687
11.64,28.07,56.847
41.84,28.07,49.395
51.49,28.08,45.286
60.69,28.08,40.701
69.35,28.09,36.047
78.19,28.11,32.376
86.72,28.14,30.711
90.7,28.14,30.52
0.66,31.83,56.731
11.78,31.87,55.354
22.14,31.87,53.343
32.25,31.87,50.471
41.91,31.91,47.175
51.52,31.91,43.002
60.72,31.91,38.547
69.42,31.93,34.368
78.13,31.96,31.351
86.52,31.98,29.725
90.54,31.99,29.65
