"RH...","vaisalaTemperature","Ph1"
31.68,3.77,1
2.68,3.78,1
21.67,3.78,1
11.59,3.79,1
41.5,3.79,1
51.12,3.81,1
60.36,3.83,1
89.12,3.84,1
76.64,3.85,1
68.79,3.86,1
84.91,3.86,1
2.13,7.77,1
21.76,7.77,1
31.85,7.77,1
11.71,7.78,1
41.59,7.78,1
51.25,7.78,1
60.55,7.81,1
69.06,7.83,1
77.18,7.86,1
85.74,7.88,1
89.84,7.89,1
1.56,11.89,1
11.56,11.9,1
21.66,11.9,1
31.75,11.9,1
41.65,11.92,1
51.25,11.93,1
60.48,11.93,1
69.15,11.93,1
77.54,11.94,1
86.24,11.96,1
90.41,11.97,1
1.35,16.09,1
11.64,16.12,1
21.8,16.13,1
31.85,16.14,1
41.55,16.16,1
51.27,16.16,1
60.53,16.17,1
69.19,16.19,1
77.73,16.22,1
86.42,16.25,1
90.48,16.25,1
1.05,19.75,1
21.8,19.75,1
11.57,19.77,1
31.89,19.78,1
41.72,19.8,1
60.52,19.8,1
69.31,19.81,1
51.23,19.82,1
77.91,19.83,1
86.74,19.86,1
90.67,19.88,1
0.97,20.06,1
51.23,20.07,1
60.56,20.07,1
11.41,20.08,1
21.67,20.08,1
31.7,20.08,1
41.53,20.08,1
69.26,20.08,1
77.89,20.11,1
86.58,20.13,1
90.6,20.13,1
1.07,20.21,1
21.79,20.25,1
31.82,20.25,1
41.59,20.25,1
51.31,20.25,1
11.57,20.26,1
60.57,20.26,1
69.41,20.28,1
77.92,20.3,1
86.57,20.32,1
90.76,20.34,1
0.88,23.76,1
11.6,23.77,1
21.84,23.77,1
31.9,23.77,1
41.74,23.77,1
51.46,23.78,1
60.72,23.8,1
69.32,23.81,1
78.04,23.82,1
86.65,23.83,1
90.69,23.84,1
0.75,28.05,1
21.92,28.05,1
31.98,28.05,1
11.64,28.07,1
41.84,28.07,1
51.49,28.08,1
60.69,28.08,1
69.35,28.09,1
78.19,28.11,1
86.72,28.14,1
90.7,28.14,1
0.66,31.83,1
11.78,31.87,1
22.14,31.87,1
32.25,31.87,1
41.91,31.91,1
51.52,31.91,1
60.72,31.91,1
69.42,31.93,1
78.13,31.96,1
86.52,31.98,1
90.54,31.99,1
