"","Ph1","AnalogB","Include","Temperature..C..","rh","Concentration.of.Gas....","RH...","vaisalaTemperature","pw..psi"
"1560",59.299,20.777,1,"20-1",0,0,9.11,20.09,0.031
"1620",58.243,20.973,1,"20-1",10,0,20.56,20.09,0.07
"1680",56.353,20.841,1,"20-1",20,0,30.84,20.09,0.105
"1740",53.622,20.626,1,"20-1",30,0,40.62,20.08,0.138
"1800",49.878,21.002,1,"20-1",40,0,50.29,20.08,0.171
"1860",45.419,21.383,1,"20-1",50,0,59.38,20.08,0.202
"1920",40.38,21.011,1,"20-1",60,0,67.69,20.11,0.231
"1980",35.7,21.372,1,"20-1",70,0,75.75,20.13,0.259
"2040",32.804,21.094,1,"20-1",80,0,84.17,20.14,0.288
"2100",32.234,21.005,1,"20-1",90,0,88.75,20.13,0.303
"2160",59.719,21.304,1,"20-1",95,0,27.83,19.6,0.092
"4319",61.635,12.702,1,"12",0,0,7.18,11.9,0.015
"4379",60.928,12.693,1,"12",10,0,19.24,11.91,0.039
"4439",59.64,12.726,1,"12",20,0,29.81,11.9,0.06
"4499",57.425,12.67,1,"12",30,0,39.83,11.91,0.081
"4559",54.201,12.755,1,"12",40,0,49.43,11.94,0.1
"4619",49.954,12.756,1,"12",50,0,58.4,11.94,0.118
"4679",45.046,12.738,1,"12",60,0,66.63,11.94,0.135
"4739",39.942,12.795,1,"12",70,0,74.56,11.95,0.151
"4799",35.957,12.717,1,"12",80,0,82.87,11.96,0.168
"4859",34.509,12.967,1,"12",90,0,88.3,11.96,0.179
"4919",61.635,12.746,1,"12",95,0,43.57,11.6,0.086
"7078",63.541,4.747,1,"4",0,0,5.42,3.8,0.006
"7138",63.081,4.841,1,"4",10,0,17.38,3.78,0.02
"7198",62.181,4.602,1,"4",20,0,27.99,3.77,0.033
"7258",60.483,4.579,1,"4",30,0,38.08,3.78,0.044
"7318",57.918,4.953,1,"4",40,0,47.82,3.8,0.056
"7378",54.295,5.211,1,"4",50,0,56.67,3.83,0.066
"7438",49.691,4.983,1,"4",60,0,65.31,3.85,0.076
"7498",44.64,4.903,1,"4",70,0,72.82,3.86,0.085
"7558",40.012,4.621,1,"4",80,0,80.79,3.86,0.094
"7618",37.656,4.837,1,"4",90,0,86.9,3.84,0.101
"7678",62.359,4.604,1,"4",95,0,60.28,3.58,0.069
"9595",62.613,8.463,1,"8",0,0,6.12,7.78,0.009
"9655",62.084,8.349,1,"8",10,0,18.28,7.78,0.028
"9715",60.955,8.289,1,"8",20,0,28.86,7.77,0.044
"9775",59.088,8.467,1,"8",30,0,38.86,7.78,0.06
"9835",56.182,8.631,1,"8",40,0,48.54,7.79,0.074
"9895",52.273,8.846,1,"8",50,0,57.38,7.8,0.088
"9955",47.485,8.828,1,"8",60,0,65.93,7.83,0.101
"10015",42.365,8.821,1,"8",70,0,73.68,7.85,0.113
"10075",38.015,8.677,1,"8",80,0,81.8,7.87,0.126
"10135",36.053,8.871,1,"8",90,0,87.67,7.88,0.135
"10195",62.267,8.526,1,"8",95,0,53.9,7.59,0.082
"12351",60.424,16.972,1,"16",0,0,7.83,16.12,0.021
"12411",59.647,17.131,1,"16",10,0,19.8,16.13,0.053
"12471",58.038,17.28,1,"16",20,0,30.18,16.14,0.08
"12531",55.517,17.33,1,"16",30,0,40.14,16.16,0.107
"12591",52.059,16.988,1,"16",40,0,49.67,16.17,0.132
"12650",47.733,17.043,1,"16",50,0,58.69,16.17,0.156
"12710",42.763,17.418,1,"16",60,0,67.09,16.2,0.179
"12770",37.842,17.227,1,"16",70,0,74.92,16.23,0.2
"12830",34.349,17.307,1,"16",80,0,83.35,16.24,0.223
"12890",33.405,17.147,1,"16",90,0,88.47,16.25,0.237
"12950",60.579,16.974,1,"16",95,0,38.36,15.81,0.1
"14870",59.326,21.29,1,"20-2",0,0,8.49,20.25,0.029
"14930",58.211,21.292,1,"20-2",10,0,20.25,20.26,0.07
"14990",56.307,20.992,1,"20-2",20,0,30.62,20.26,0.106
"15050",53.548,21.13,1,"20-2",30,0,40.47,20.25,0.139
"15110",49.815,21.365,1,"20-2",40,0,50.16,20.25,0.173
"15170",45.379,21.329,1,"20-2",50,0,59.12,20.27,0.204
"15230",40.304,21.318,1,"20-2",60,0,67.53,20.28,0.233
"15290",35.699,21.578,1,"20-2",70,0,75.44,20.32,0.261
"15350",32.91,21.39,1,"20-2",80,0,83.84,20.33,0.29
"15410",32.371,21.238,1,"20-2",90,0,88.8,20.32,0.307
"15470",59.714,21.525,1,"20-2",95,0,32.53,19.84,0.109
"17629",56.664,28.747,1,"28",0,0,9.78,28.07,0.054
"17689",55.04,28.696,1,"28",10,0,21.05,28.07,0.116
"17749",52.61,29.324,1,"28",20,0,31.27,28.07,0.172
"17809",49.361,28.644,1,"28",30,0,41.17,28.06,0.227
"17869",45.323,29.156,1,"28",40,0,50.71,28.09,0.28
"17929",40.726,28.986,1,"28",50,0,59.76,28.1,0.33
"17989",36.162,29.221,1,"28",60,0,68.17,28.12,0.376
"18049",32.52,28.984,1,"28",70,0,76.29,28.13,0.422
"18109",30.791,29.232,1,"28",80,0,84.75,28.15,0.469
"18169",30.547,29.234,1,"28",90,0,88.98,28.14,0.492
"18229",57.493,28.566,1,"28",95,0,22.16,27.52,0.118
"20147",55.112,33.128,1,"32",0,0,10.19,31.87,0.07
"20207",53.154,33.401,1,"32",10,0,21.39,31.88,0.147
"20267",50.469,33.08,1,"32",20,0,31.62,31.87,0.217
"20327",47.142,33.203,1,"32",30,0,41.47,31.9,0.284
"20387",43.034,32.922,1,"32",40,0,50.9,31.92,0.35
"20447",38.624,33.161,1,"32",50,0,60,31.94,0.413
