time(s)	MFC1 (Wet)	MFC2 (Dry)	MFC3 (O2)	MFC4 (CO2)	MFC5	MFC6	Valve 1	Valve 2	Total Flow (cc)	Gas	Concentration of Gas (%)	Time(s)	RH (%)	Temperature (C )	Include								MFC1 cc/min	MFC2	MFC3	MFC4	MFC5	MFC6	MFC7	total flow	% moist	% dry
3601	0.625	2.850	0.447	0.000	0.00	0	0	1	500	O2	18	3601	25	20	0		CAL FOR	Flox Max	Gas INUSED	Factor applied	USE	In use	125	285		0				410	0.304878049	0.695121951
600	0.625	2.850	0.447	0.000	0.00	0	0	1	500	O2	18	600	25	20	0	MFC1	N2	1000.00	N2	1.00	RH	1	125	285		0				410	0.304878049	0.695121951
300	0.625	2.850	0.447	0.000	0.00	0	0	1	500	O2	18	300	25	20	0	MFC2	N2	500.00	N2	1.00	DRY	1	125	285		0				410	0.304878049	0.695121951
300	0.625	2.850	0.447	0.000	0.00	0	0	1	500	O2	18	300	25	20	0								125	285		0				410	0.304878049	0.695121951
300	0.625	2.850	0.447	0.000	0.00	0	0	1	500	O2	18	300	25	20	0	MFC3	N2	1000.00	O2	0.99	O2	1	125	265		0				390	0.320512821	0.679487179
300	0.625	2.650	0.546	0.000	0.00	0	0	1	500	O2	22	300	25	20	0	MFC4	CO2	50.00	CO2	1.00	CO2	0	125	245		0				370	0.337837838	0.662162162
300	0.625	2.450	0.645	0.000	0.00	0	0	1	500	O2	26	300	25	20	0	MFC5	CO2	100.00	CO2	0.70	CO2	0	125	225		0				350	0.357142857	0.642857143
300	0.625	2.250	0.745	0.000	0.00	0	0	1	500	O2	30	300	25	20	0	MFC4						0	125	200		0				325	0.384615385	0.615384615
300	0.625	2.000	0.869	0.000	0.00	0	0	1	500	O2	35	300	25	20	0	MFC5						0	125	175		0				300	0.416666667	0.583333333
300	0.625	1.750	0.993	0.000	0.00	0	0	1	500	O2	40	300	25	20	0								125	150		0				275	0.454545455	0.545454545
300	0.625	1.500	1.117	0.000	0.00	0	0	1	500	O2	45	300	25	20	0																	
300	0.625	1.250	1.241	0.000	0.00	0	0	1	500	O2	50	300	25	20	0																	
600	0.625	2.850	0.447	0.000	0.00	0	0	1	500	O2	18	600	25	20	0		 															
300	0.625	2.850	0.447	0.000	0.00	0	0	1	500	O2	18	300	25	20	0																	
300	0.625	2.850	0.447	0.000	0.00	0	0	1	500	O2	18	300	25	20	0																	
300	0.625	2.850	0.447	0.000	0.00	0	0	1	500	O2	18	300	25	20	1	1h = 	3600	s														
300	0.625	2.650	0.546	0.000	0.00	0	0	1	500	O2	22	300	25	20	1	20 min =	1200	s														
300	0.625	2.450	0.645	0.000	0.00	0	0	1	500	O2	26	300	25	20	1	40 min =	2400	s														
300	0.625	2.250	0.745	0.000	0.00	0	0	1	500	O2	30	300	25	20	1																	
300	0.625	2.000	0.869	0.000	0.00	0	0	1	500	O2	35	300	25	20	1																	
