	RH, %	T, °C	pw, psi
1/26/2016 5:09:49 PM 	25.97	20.18	0.089
1/26/2016 5:09:54 PM 	25.97	20.18	0.089
1/26/2016 5:09:59 PM 	25.97	20.18	0.089
1/26/2016 5:10:04 PM 	25.98	20.18	0.089
1/26/2016 5:10:09 PM 	25.97	20.18	0.089
1/26/2016 5:10:14 PM 	25.98	20.19	0.089
1/26/2016 5:10:19 PM 	25.97	20.19	0.089
1/26/2016 5:10:24 PM 	25.97	20.19	0.089
1/26/2016 5:10:29 PM 	25.97	20.19	0.089
1/26/2016 5:10:34 PM 	25.98	20.19	0.089
1/26/2016 5:10:39 PM 	25.98	20.19	0.089
1/26/2016 5:10:44 PM 	25.98	20.19	0.089
1/26/2016 5:10:49 PM 	25.99	20.19	0.089
1/26/2016 5:10:54 PM 	25.98	20.19	0.089
1/26/2016 5:10:59 PM 	25.98	20.19	0.089
1/26/2016 5:11:04 PM 	25.98	20.19	0.089
1/26/2016 5:11:09 PM 	25.98	20.19	0.089
1/26/2016 5:11:14 PM 	25.98	20.19	0.089
1/26/2016 5:11:19 PM 	25.98	20.19	0.089
1/26/2016 5:11:24 PM 	25.98	20.20	0.089
1/26/2016 5:11:29 PM 	25.97	20.20	0.089
1/26/2016 5:11:34 PM 	25.98	20.20	0.089
1/26/2016 5:11:39 PM 	25.98	20.19	0.089
1/26/2016 5:11:44 PM 	25.97	20.19	0.089
1/26/2016 5:11:49 PM 	25.97	20.20	0.089
1/26/2016 5:11:54 PM 	25.97	20.19	0.089
1/26/2016 5:11:59 PM 	25.97	20.20	0.089
1/26/2016 5:12:04 PM 	25.96	20.20	0.089
1/26/2016 5:12:09 PM 	25.96	20.20	0.089
1/26/2016 5:12:14 PM 	25.96	20.20	0.089
1/26/2016 5:12:19 PM 	25.96	20.20	0.089
1/26/2016 5:12:24 PM 	25.96	20.20	0.089
1/26/2016 5:12:29 PM 	25.96	20.20	0.089
1/26/2016 5:12:34 PM 	25.96	20.20	0.089
1/26/2016 5:12:39 PM 	25.96	20.20	0.089
1/26/2016 5:12:44 PM 	25.96	20.20	0.089
