time(s)	MFC1	MFC2	MFC3	MFC4	MFC5	MFC6	Valve 1	Valve 2	Total Flow (cc)	Gas	Concentration of Gas (%)	Time(s)	RH (%)	Temperature (C )	Include								MFC1 cc/min	MFC2	MFC3	MFC4	MFC5	MFC6	MFC7	total flow	% moist	% dry
3601	0.250	1.500	0.000	0.000	0.00	0	0	0	200	NA	0	3601	25	20-1	0		CAL FOR	Flox Max	Gas INUSED	Factor applied	USE	In use	50	150		0				200	0.25	0.75
600	0.000	2.000	0.000	0.000	0.00	0	0	0	200	NA	0	600	0	20-1	0	MFC1	N2	1000.00	N2	1.00	RH	1	20	180		0				200	0.1	0.9
300	0.100	1.800	0.000	0.000	0.00	0	0	0	200	NA	0	300	10	20-1	0	MFC2	N2	500.00	N2	1.00	DRY	1	40	160		0				200	0.2	0.8
300	0.200	1.600	0.000	0.000	0.00	0	0	0	200	NA	0	300	20	20-1	0								60	140		0				200	0.3	0.7
300	0.300	1.400	0.000	0.000	0.00	0	0	0	200	NA	0	300	30	20-1	0	MFC3	N2	250.00	N2	1.00	DRY	0	80	120		0				200	0.4	0.6
300	0.400	1.200	0.000	0.000	0.00	0	0	0	200	NA	0	300	40	20-1	0	MFC4	CO2	50.00	CO2	1.00	CO2	1	100	100		0				200	0.5	0.5
300	0.500	1.000	0.000	0.000	0.00	0	0	0	200	NA	0	300	50	20-1	0	MFC5	CO2	100.00	CO2	0.70	CO2	0	120	80		0				200	0.6	0.4
300	0.600	0.800	0.000	0.000	0.00	0	0	0	200	NA	0	300	60	20-1	0	MFC4						0	140	60		0				200	0.7	0.3
300	0.700	0.600	0.000	0.000	0.00	0	0	0	200	NA	0	300	70	20-1	0	MFC5						0	160	40		0				200	0.8	0.2
300	0.800	0.400	0.000	0.000	0.00	0	0	0	200	NA	0	300	80	20-1	0								180	20		0				200	0.9	0.1
300	0.900	0.200	0.000	0.000	0.00	0	0	0	200	NA	0	300	90	20-1	0																	
