elapsedTimeHour,elapsedTimeSec,vaisalaRH,vaisalaTemperature,vaisalaPW
0,0,24.99,20.3,0.086
0.001389,5.0004,25.2,20.31,0.087
0.002778,10.0008,25.38,20.31,0.088
0.004167,15.0012,25.52,20.31,0.088
0.005556,20.0016,25.63,20.32,0.089
0.006944,24.9984,25.74,20.31,0.089
0.008333,29.9988,25.81,20.31,0.089
0.009722,34.9992,25.9,20.31,0.09
0.011111,39.9996,25.97,20.31,0.09
0.0125,45,26.03,20.31,0.09
0.013889,50.0004,26.09,20.31,0.09
0.015278,55.0008,26.14,20.31,0.09
0.016667,60.0012,26.19,20.31,0.091
0.018056,65.0016,26.25,20.31,0.091
0.019444,69.9984,26.29,20.32,0.091
0.020833,74.9988,26.32,20.32,0.091
0.022222,79.9992,26.37,20.32,0.091
0.023611,84.9996,26.41,20.32,0.091
0.025,90,26.45,20.32,0.091
0.026389,95.0004,26.48,20.32,0.092
0.027778,100.0008,26.52,20.33,0.092
0.029167,105.0012,26.55,20.33,0.092
0.030556,110.0016,26.58,20.33,0.092
0.031944,114.9984,26.61,20.33,0.092
0.033333,119.9988,26.64,20.34,0.092
0.034722,124.9992,26.66,20.33,0.092
0.036111,129.9996,26.7,20.34,0.092
0.0375,135,26.72,20.34,0.093
0.038889,140.0004,26.74,20.34,0.093
0.040278,145.0008,26.76,20.35,0.093
0.041667,150.0012,26.78,20.35,0.093
0.043056,155.0016,26.8,20.36,0.093
0.044444,159.9984,26.82,20.36,0.093
0.045833,164.9988,26.84,20.36,0.093
0.047222,169.9992,26.86,20.37,0.093
0.048611,174.9996,26.88,20.37,0.093
0.05,180,26.9,20.38,0.093
0.051389,185.0004,26.92,20.38,0.094
0.052778,190.0008,26.93,20.39,0.094
0.054167,195.0012,26.95,20.39,0.094
0.055556,200.0016,26.96,20.39,0.094
0.056944,204.9984,26.98,20.4,0.094
0.058333,209.9988,26.99,20.4,0.094
0.059722,214.9992,27,20.41,0.094
0.061111,219.9996,27.01,20.41,0.094
0.0625,225,27.02,20.41,0.094
0.063889,230.0004,27.03,20.42,0.094
0.065278,235.0008,27.04,20.43,0.094
0.066667,240.0012,27.06,20.43,0.094
0.068056,245.0016,27.06,20.44,0.094
0.069444,249.9984,27.06,20.44,0.094
0.070833,254.9988,27.05,20.44,0.094
0.072222,259.9992,27.04,20.45,0.094
0.073611,264.9996,27,20.46,0.094
0.075,270,26.98,20.46,0.094
0.076389,275.0004,26.96,20.47,0.094
0.077778,280.0008,26.93,20.47,0.094
0.079167,285.0012,26.9,20.48,0.094
0.080556,290.0016,26.86,20.48,0.094
0.081944,294.9984,26.83,20.48,0.094
0.083333,299.9988,26.8,20.49,0.094
0.084722,304.9992,26.77,20.5,0.094
0.086111,309.9996,26.74,20.5,0.094
0.0875,315,26.69,20.5,0.093
0.088889,320.0004,26.66,20.5,0.093
0.090278,325.0008,26.63,20.5,0.093
0.091667,330.0012,26.6,20.51,0.093
0.093056,335.0016,26.57,20.51,0.093
0.094444,339.9984,26.53,20.51,0.093
0.095833,344.9988,26.5,20.52,0.093
0.097222,349.9992,26.47,20.52,0.093
0.098611,354.9996,26.44,20.52,0.093
0.1,360,26.41,20.52,0.093
0.101389,365.0004,26.4,20.52,0.093
0.102778,370.0008,26.39,20.52,0.092
0.104167,375.0012,26.38,20.53,0.092
0.105556,380.0016,26.37,20.53,0.092
0.106944,384.9984,26.36,20.52,0.092
0.108333,389.9988,26.36,20.52,0.092
0.109722,394.9992,26.35,20.53,0.092
0.111111,399.9996,26.34,20.52,0.092
0.1125,405,26.33,20.52,0.092
0.113889,410.0004,26.32,20.52,0.092
0.115278,415.0008,26.32,20.52,0.092
0.116667,420.0012,26.32,20.53,0.092
0.118056,425.0016,26.32,20.52,0.092
0.119444,429.9984,26.3,20.52,0.092
0.120833,434.9988,26.29,20.52,0.092
0.122222,439.9992,26.27,20.52,0.092
0.123611,444.9996,26.26,20.52,0.092
0.125,450,26.24,20.52,0.092
0.126389,455.0004,26.22,20.51,0.092
0.127778,460.0008,26.2,20.51,0.092
0.129167,465.0012,26.18,20.51,0.092
0.130556,470.0016,26.17,20.5,0.092
0.131944,474.9984,26.17,20.5,0.092
0.133333,479.9988,26.17,20.5,0.092
0.134722,484.9992,26.17,20.5,0.092
0.136111,489.9996,26.17,20.49,0.092
0.1375,495,26.18,20.49,0.092
0.138889,500.0004,26.19,20.49,0.092
0.140278,505.0008,26.2,20.48,0.092
0.141667,510.0012,26.2,20.48,0.092
0.143056,515.0016,26.21,20.48,0.092
0.144444,519.9984,26.2,20.48,0.092
0.145833,524.9988,26.2,20.47,0.092
0.147222,529.9992,26.21,20.47,0.092
0.148611,534.9996,26.22,20.47,0.092
0.15,540,26.23,20.47,0.092
0.151389,545.0004,26.24,20.46,0.092
0.152778,550.0008,26.24,20.46,0.092
0.154167,555.0012,26.25,20.46,0.092
0.155556,560.0016,26.25,20.46,0.092
0.156944,564.9984,26.25,20.45,0.092
0.158333,569.9988,26.26,20.45,0.092
0.159722,574.9992,26.26,20.45,0.092
0.161111,579.9996,26.26,20.44,0.092
0.1625,585,26.26,20.44,0.092
0.163889,590.0004,26.26,20.44,0.092
0.165278,595.0008,26.27,20.44,0.092
0.166667,600.0012,26.27,20.43,0.092
0.168056,605.0016,26.28,20.43,0.092
0.169444,609.9984,26.29,20.42,0.092
0.170833,614.9988,26.3,20.42,0.092
0.172222,619.9992,26.31,20.42,0.092
0.173611,624.9996,26.32,20.42,0.092
0.175,630,26.33,20.42,0.092
0.176389,635.0004,26.33,20.41,0.092
0.177778,640.0008,26.33,20.41,0.092
0.179167,645.0012,26.34,20.41,0.092
0.180556,650.0016,26.34,20.41,0.092
0.181944,654.9984,26.34,20.41,0.092
0.183333,659.9988,26.36,20.4,0.092
0.184722,664.9992,26.36,20.4,0.092
0.186111,669.9996,26.37,20.39,0.092
0.1875,675,26.38,20.39,0.092
0.188889,680.0004,26.38,20.39,0.092
0.190278,685.0008,26.37,20.39,0.092
0.191667,690.0012,26.37,20.38,0.092
0.193056,695.0016,26.38,20.38,0.092
0.194444,699.9984,26.39,20.38,0.092
0.195833,704.9988,26.4,20.38,0.092
0.197222,709.9992,26.41,20.38,0.092
0.198611,714.9996,26.41,20.38,0.092
0.2,720,26.42,20.37,0.092
0.201389,725.0004,26.43,20.38,0.092
0.202778,730.0008,26.44,20.37,0.092
0.204167,735.0012,26.45,20.37,0.092
0.205556,740.0016,26.45,20.37,0.092
0.206944,744.9984,26.45,20.36,0.092
0.208333,749.9988,26.45,20.36,0.092
0.209722,754.9992,26.45,20.36,0.092
0.211111,759.9996,26.46,20.36,0.092
0.2125,765,26.46,20.36,0.092
0.213889,770.0004,26.47,20.35,0.092
0.215278,775.0008,26.47,20.35,0.092
0.216667,780.0012,26.47,20.35,0.092
0.218056,785.0016,26.48,20.35,0.092
0.219444,789.9984,26.48,20.35,0.092
0.220833,794.9988,26.49,20.35,0.092
0.222222,799.9992,26.49,20.35,0.092
0.223611,804.9996,26.5,20.35,0.092
0.225,810,26.5,20.34,0.092
0.226389,815.0004,26.5,20.34,0.092
0.227778,820.0008,26.51,20.34,0.092
0.229167,825.0012,26.51,20.34,0.092
0.230556,830.0016,26.51,20.34,0.092
0.231944,834.9984,26.51,20.33,0.092
0.233333,839.9988,26.52,20.33,0.092
0.234722,844.9992,26.52,20.33,0.092
0.236111,849.9996,26.52,20.33,0.092
0.2375,855,26.53,20.33,0.092
0.238889,860.0004,26.53,20.33,0.092
0.240278,865.0008,26.53,20.33,0.092
0.241667,870.0012,26.54,20.32,0.092
0.243056,875.0016,26.54,20.33,0.092
0.244444,879.9984,26.54,20.32,0.092
0.245833,884.9988,26.55,20.32,0.092
0.247222,889.9992,26.55,20.32,0.092
0.248611,894.9996,26.55,20.32,0.092
0.25,900,26.56,20.32,0.092
0.251389,905.0004,26.57,20.32,0.092
0.252778,910.0008,26.57,20.32,0.092
0.254167,915.0012,26.58,20.32,0.092
0.255556,920.0016,26.58,20.31,0.092
0.256944,924.9984,26.58,20.31,0.092
0.258333,929.9988,26.58,20.3,0.092
0.259722,934.9992,26.59,20.31,0.092
0.261111,939.9996,26.59,20.31,0.092
0.2625,945,26.59,20.31,0.092
0.263889,950.0004,26.59,20.31,0.092
0.265278,955.0008,26.59,20.31,0.092
0.266667,960.0012,26.6,20.31,0.092
0.268056,965.0016,26.6,20.3,0.092
0.269444,969.9984,26.6,20.31,0.092
0.270833,974.9988,26.6,20.31,0.092
0.272222,979.9992,26.6,20.3,0.092
0.273611,984.9996,26.6,20.3,0.092
0.275,990,26.59,20.3,0.092
0.276389,995.0004,26.59,20.3,0.092
0.277778,1000.0008,26.6,20.3,0.092
0.279167,1005.0012,26.6,20.3,0.092
0.280556,1010.0016,26.6,20.29,0.092
0.281944,1014.9984,26.59,20.29,0.092
0.283333,1019.9988,26.6,20.3,0.092
0.284722,1024.9992,26.6,20.3,0.092
0.286111,1029.9996,26.6,20.29,0.092
0.2875,1035,26.6,20.29,0.092
0.288889,1040.0004,26.6,20.29,0.092
0.290278,1045.0008,26.6,20.29,0.092
0.291667,1050.0012,26.6,20.29,0.092
0.293056,1055.0016,26.6,20.29,0.092
0.294444,1059.9984,26.6,20.29,0.092
0.295833,1064.9988,26.59,20.29,0.092
0.297222,1069.9992,26.59,20.29,0.092
0.298611,1074.9996,26.6,20.29,0.092
0.3,1080,26.6,20.28,0.092
0.301389,1085.0004,26.6,20.28,0.092
0.302778,1090.0008,26.6,20.28,0.092
0.304167,1095.0012,26.6,20.28,0.092
0.305556,1100.0016,26.6,20.28,0.092
0.306944,1104.9984,26.6,20.28,0.092
0.308333,1109.9988,26.6,20.28,0.092
0.309722,1114.9992,26.6,20.28,0.092
0.311111,1119.9996,26.6,20.27,0.092
0.3125,1125,26.6,20.28,0.092
0.313889,1130.0004,26.6,20.27,0.092
0.315278,1135.0008,26.6,20.27,0.092
0.316667,1140.0012,26.59,20.27,0.092
0.318056,1145.0016,26.6,20.27,0.092
0.319444,1149.9984,26.6,20.27,0.092
0.320833,1154.9988,26.6,20.27,0.092
0.322222,1159.9992,26.6,20.27,0.092
0.323611,1164.9996,26.61,20.27,0.092
0.325,1170,26.62,20.27,0.092
0.326389,1175.0004,26.62,20.27,0.092
0.327778,1180.0008,26.63,20.26,0.092
0.329167,1185.0012,26.63,20.26,0.092
0.330556,1190.0016,26.63,20.26,0.092
0.331944,1194.9984,26.62,20.26,0.092
0.333333,1199.9988,26.61,20.26,0.092
0.334722,1204.9992,26.61,20.26,0.092
0.336111,1209.9996,26.61,20.26,0.092
0.3375,1215,26.62,20.26,0.092
0.338889,1220.0004,26.62,20.26,0.092
0.340278,1225.0008,26.62,20.26,0.092
0.341667,1230.0012,26.63,20.26,0.092
0.343056,1235.0016,26.63,20.26,0.092
0.344444,1239.9984,26.63,20.25,0.092
0.345833,1244.9988,26.63,20.25,0.092
0.347222,1249.9992,26.63,20.25,0.092
0.348611,1254.9996,26.63,20.25,0.092
0.35,1260,26.63,20.25,0.092
0.351389,1265.0004,26.64,20.25,0.092
0.352778,1270.0008,26.64,20.25,0.092
0.354167,1275.0012,26.63,20.25,0.092
0.355556,1280.0016,26.64,20.25,0.092
