time(s)	MFC1	MFC2	MFC3	MFC4	MFC5	MFC6	Valve 1	Valve 2	Total Flow (cc)	Gas	Concentration of Gas (%)	Time(s)	RH (%)	O2 (%)	Temperature	Include Index								MFC1 cc/min	MFC2	MFC3	MFC4	MFC5	MFC6	MFC7	total flow	% moist	% dry
300	1.250	2.500	0.000	0.000	0.00	0	0	0	500	CO2	0	300	50	0	20	0		CAL FOR	Flox Max	Gas INUSED	Factor applied	USE	In use	250	250		0				500	0.5	0.5
300	1.250	2.475	0.000	0.250	0.00	0	1	0	500	CO2	0.5	300	50	0	20	0	MFC1	N2	1000.00	N2	1.00	RH	1	250	247.5		2.5				500	0.5	0.5
300	1.250	2.425	0.000	0.750	0.00	0	1	0	500	CO2	1.5	300	50	0	20	0	MFC2	N2	500.00	N2	1.00	DRY	1	250	235		15				500	0.5	0.5
300	1.250	2.350	0.000	1.500	0.00	0	1	0	500	CO2	3	300	50	0	20	0								250	220		30				500	0.5	0.5
300	1.250	2.200	0.000	3.000	0.00	0	1	0	500	CO2	6	300	50	0	20	0	MFC3	N2	1000.00	N2	1.00	DRY	0	250	200		50				500	0.5	0.5
300	1.250	2.000	0.000	5.000	0.00	0	1	0	500	CO2	10	300	50	0	20	0	MFC4	CO2	50.00	CO2	1.00	CO2	1	250	250		0				500	0.5	0.5
300	1.250	2.500	0.000	0.000	0.00	0	0	0	500	CO2	0	300	50	0	10	1	MFC5	CO2	100.00	CO2	0.70	CO2	0	250	247.5		2.5				500	0.5	0.5
300	1.250	2.475	0.000	0.250	0.00	0	1	0	500	CO2	0.5	300	50	0	10	1								250	242.5		7.5				500	0.5	0.5
300	1.250	2.425	0.000	0.750	0.00	0	1	0	500	CO2	1.5	300	50	0	10	1								250	235		15				500	0.5	0.5
300	1.250	2.350	0.000	1.500	0.00	0	1	0	500	CO2	3	300	50	0	10	1								250	220		30				500	0.5	0.5
300	1.250	2.200	0.000	3.000	0.00	0	1	0	500	CO2	6	300	50	0	10	1																	
300	1.250	2.000	0.000	5.000	0.00	0	1	0	500	CO2	10	300	50	0	10	1																	
300	1.250	2.500	0.000	0.000	0.00	0	0	0	500	CO2	0	300	50	0	5	0																	
300	1.250	2.475	0.000	0.250	0.00	0	1	0	500	CO2	0.5	300	50	0	5	0																	
300	1.250	2.425	0.000	0.750	0.00	0	1	0	500	CO2	1.5	300	50	0	5	0																	
300	1.250	2.350	0.000	1.500	0.00	0	1	0	500	CO2	3	300	50	0	5	0																	
300	1.250	2.200	0.000	3.000	0.00	0	1	0	500	CO2	6	300	50	0	5	0																	
300	1.250	2.000	0.000	5.000	0.00	0	1	0	500	CO2	10	300	50	0	5	0																	
150000	1.250	2.500	0.000	0.000	0.00	0	0	0	500	CO2	0	150000	50	0	5	0																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
