vaisalaTimeHours	elapsedTimeSec	"RH, %"	"T, ?C"	"pw, psi"
0.000000	0.000000	49.4	25.29	0.231
0.001389	5.000000	49.34	25.29	0.231
0.002778	10.000000	49.58	25.29	0.232
0.004167	15.000000	49.94	25.29	0.233
0.005556	20.000000	50.23	25.29	0.235
0.006944	25.000000	50.49	25.28	0.236
0.008333	30.000000	50.67	25.28	0.237
0.009722	35.000000	50.81	25.28	0.237
0.011111	40.000000	50.94	25.29	0.238
0.012500	45.000000	51.03	25.28	0.239
0.013889	50.000000	51.08	25.29	0.239
0.015278	55.000000	51.1	25.29	0.239
0.016667	60.000000	51.1	25.29	0.239
0.018056	65.000000	51.11	25.29	0.239
0.019444	70.000000	51.11	25.29	0.239
0.020833	75.000000	51.11	25.29	0.239
0.022222	80.000000	51.11	25.29	0.239
0.023611	85.000000	51.11	25.29	0.239
0.025000	90.000000	51.1	25.29	0.239
0.026389	95.000000	51.09	25.29	0.239
0.027778	100.000000	51.09	25.29	0.239
0.029167	105.000000	51.09	25.29	0.239
0.030556	110.000000	51.09	25.29	0.239
0.031944	115.000000	51.09	25.29	0.239
0.033333	120.000000	51.09	25.3	0.239
0.034722	125.000000	51.09	25.29	0.239
0.036111	130.000000	51.08	25.29	0.239
0.037500	135.000000	51.08	25.29	0.239
0.038889	140.000000	51.08	25.29	0.239
0.040278	145.000000	51.08	25.29	0.239
0.041667	150.000000	51.07	25.29	0.239
0.043056	155.000000	51.06	25.29	0.239
0.044444	160.000000	51.06	25.29	0.239
0.045833	165.000000	51.06	25.29	0.239
0.047222	170.000000	51.06	25.29	0.239
0.048611	175.000000	51.06	25.29	0.239
0.050000	180.000000	51.05	25.29	0.239
0.051389	185.000000	51.05	25.29	0.239
0.052778	190.000000	51.06	25.29	0.239
0.054167	195.000000	51.06	25.29	0.239
0.055556	200.000000	51.07	25.29	0.239
0.056944	205.000000	51.06	25.29	0.239
0.058333	210.000000	51.06	25.29	0.239
0.059722	215.000000	51.06	25.29	0.239
0.061111	220.000001	51.06	25.29	0.239
0.062500	225.000000	51.05	25.3	0.239
0.063889	230.000000	51.05	25.3	0.239
0.065278	235.000000	51.05	25.29	0.239
0.066667	240.000000	51.04	25.3	0.239
0.068056	245.000000	51.02	25.29	0.239
0.069444	250.000000	51.01	25.29	0.239
0.070833	255.000001	51.02	25.29	0.239
0.072222	260.000000	51.02	25.29	0.239
0.073611	265.000000	51.02	25.29	0.239
0.075000	270.000000	51.03	25.29	0.239
0.076389	275.000000	51.03	25.29	0.239
