	RH, %	T, °C	pw, psi
2/24/2016 5:44:34 PM 	49.40	25.29	0.231
2/24/2016 5:44:39 PM 	49.34	25.29	0.231
2/24/2016 5:44:44 PM 	49.58	25.29	0.232
2/24/2016 5:44:49 PM 	49.94	25.29	0.233
2/24/2016 5:44:54 PM 	50.23	25.29	0.235
2/24/2016 5:44:59 PM 	50.49	25.28	0.236
2/24/2016 5:45:04 PM 	50.67	25.28	0.237
2/24/2016 5:45:09 PM 	50.81	25.28	0.237
2/24/2016 5:45:14 PM 	50.94	25.29	0.238
2/24/2016 5:45:19 PM 	51.03	25.28	0.239
2/24/2016 5:45:24 PM 	51.08	25.29	0.239
2/24/2016 5:45:29 PM 	51.10	25.29	0.239
2/24/2016 5:45:34 PM 	51.10	25.29	0.239
2/24/2016 5:45:39 PM 	51.11	25.29	0.239
2/24/2016 5:45:44 PM 	51.11	25.29	0.239
2/24/2016 5:45:49 PM 	51.11	25.29	0.239
2/24/2016 5:45:54 PM 	51.11	25.29	0.239
2/24/2016 5:45:59 PM 	51.11	25.29	0.239
2/24/2016 5:46:04 PM 	51.10	25.29	0.239
2/24/2016 5:46:09 PM 	51.09	25.29	0.239
2/24/2016 5:46:14 PM 	51.09	25.29	0.239
2/24/2016 5:46:19 PM 	51.09	25.29	0.239
2/24/2016 5:46:24 PM 	51.09	25.29	0.239
2/24/2016 5:46:29 PM 	51.09	25.29	0.239
2/24/2016 5:46:34 PM 	51.09	25.30	0.239
2/24/2016 5:46:39 PM 	51.09	25.29	0.239
2/24/2016 5:46:44 PM 	51.08	25.29	0.239
2/24/2016 5:46:49 PM 	51.08	25.29	0.239
2/24/2016 5:46:54 PM 	51.08	25.29	0.239
2/24/2016 5:46:59 PM 	51.08	25.29	0.239
2/24/2016 5:47:04 PM 	51.07	25.29	0.239
2/24/2016 5:47:09 PM 	51.06	25.29	0.239
2/24/2016 5:47:14 PM 	51.06	25.29	0.239
2/24/2016 5:47:19 PM 	51.06	25.29	0.239
2/24/2016 5:47:24 PM 	51.06	25.29	0.239
2/24/2016 5:47:29 PM 	51.06	25.29	0.239
2/24/2016 5:47:34 PM 	51.05	25.29	0.239
2/24/2016 5:47:39 PM 	51.05	25.29	0.239
2/24/2016 5:47:44 PM 	51.06	25.29	0.239
2/24/2016 5:47:49 PM 	51.06	25.29	0.239
2/24/2016 5:47:54 PM 	51.07	25.29	0.239
2/24/2016 5:47:59 PM 	51.06	25.29	0.239
2/24/2016 5:48:04 PM 	51.06	25.29	0.239
2/24/2016 5:48:09 PM 	51.06	25.29	0.239
2/24/2016 5:48:14 PM 	51.06	25.29	0.239
2/24/2016 5:48:19 PM 	51.05	25.30	0.239
2/24/2016 5:48:24 PM 	51.05	25.30	0.239
2/24/2016 5:48:29 PM 	51.05	25.29	0.239
2/24/2016 5:48:34 PM 	51.04	25.30	0.239
2/24/2016 5:48:39 PM 	51.02	25.29	0.239
