VaisalaTimeHours,"RH, %","T, °C","pw, psi"
0.000000,24.99,20.3,0.086
0.001389,25.2,20.31,0.087
0.002778,25.38,20.31,0.088
0.004167,25.52,20.31,0.088
0.005556,25.63,20.32,0.089
0.006944,25.74,20.31,0.089
0.008333,25.81,20.31,0.089
0.009722,25.9,20.31,0.09
0.011111,25.97,20.31,0.09
0.012500,26.03,20.31,0.09
0.013889,26.09,20.31,0.09
0.015278,26.14,20.31,0.09
0.016667,26.19,20.31,0.091
0.018056,26.25,20.31,0.091
0.019444,26.29,20.32,0.091
0.020833,26.32,20.32,0.091
0.022222,26.37,20.32,0.091
0.023611,26.41,20.32,0.091
0.025000,26.45,20.32,0.091
0.026389,26.48,20.32,0.092
0.027778,26.52,20.33,0.092
0.029167,26.55,20.33,0.092
0.030556,26.58,20.33,0.092
0.031944,26.61,20.33,0.092
0.033333,26.64,20.34,0.092
0.034722,26.66,20.33,0.092
0.036111,26.7,20.34,0.092
0.037500,26.72,20.34,0.093
0.038889,26.74,20.34,0.093
0.040278,26.76,20.35,0.093
0.041667,26.78,20.35,0.093
0.043056,26.8,20.36,0.093
0.044444,26.82,20.36,0.093
0.045833,26.84,20.36,0.093
0.047222,26.86,20.37,0.093
0.048611,26.88,20.37,0.093
0.050000,26.9,20.38,0.093
0.051389,26.92,20.38,0.094
0.052778,26.93,20.39,0.094
0.054167,26.95,20.39,0.094
0.055556,26.96,20.39,0.094
0.056944,26.98,20.4,0.094
0.058333,26.99,20.4,0.094
0.059722,27,20.41,0.094
0.061111,27.01,20.41,0.094
0.062500,27.02,20.41,0.094
0.063889,27.03,20.42,0.094
0.065278,27.04,20.43,0.094
0.066667,27.06,20.43,0.094
0.068056,27.06,20.44,0.094
0.069444,27.06,20.44,0.094
0.070833,27.05,20.44,0.094
0.072222,27.04,20.45,0.094
0.073611,27,20.46,0.094
0.075000,26.98,20.46,0.094
0.076389,26.96,20.47,0.094
0.077778,26.93,20.47,0.094
0.079167,26.9,20.48,0.094
0.080556,26.86,20.48,0.094
0.081944,26.83,20.48,0.094
0.083333,26.8,20.49,0.094
0.084722,26.77,20.5,0.094
0.086111,26.74,20.5,0.094
0.087500,26.69,20.5,0.093
0.088889,26.66,20.5,0.093
0.090278,26.63,20.5,0.093
0.091667,26.6,20.51,0.093
0.093056,26.57,20.51,0.093
0.094444,26.53,20.51,0.093
0.095833,26.5,20.52,0.093
0.097222,26.47,20.52,0.093
0.098611,26.44,20.52,0.093
0.100000,26.41,20.52,0.093
0.101389,26.4,20.52,0.093
0.102778,26.39,20.52,0.092
0.104167,26.38,20.53,0.092
0.105556,26.37,20.53,0.092
0.106944,26.36,20.52,0.092
0.108333,26.36,20.52,0.092
0.109722,26.35,20.53,0.092
0.111111,26.34,20.52,0.092
0.112500,26.33,20.52,0.092
0.113889,26.32,20.52,0.092
0.115278,26.32,20.52,0.092
